name,NameCode
Amelanchier alnifolia,Amealn
Amelanchier pallida,Amepal
Amelanchier utahensis,Ameuta
Arbutus menziesii,Arbmen
Arctostaphylos glauca,Arcgla
Arctostaphylos manzanita,Arcman
Arctostaphylos mewukka,Arcmew
Arctostaphylos myrtifolia,Arcmyr
Arctostaphylos nevadensis,Arcnev
Arctostaphylos nissenana,Arcnis
Arctostaphylos patula,Arcpat
Arctostaphylos uva-ursi,Arcuva
Arctostaphylos viscida,Arcvis
Berberis aquifolium,Beraqu
Cornus glabrata,Corgla
Cornus nuttallii,Cornut
Cornus sericea,Corser
Cornus sessilis,Corses
Crataegus douglasii,Cradou
Frangula californica,Fracal
Frangula purshiana,Frapur
Frangula rubra,Frarub
Gaultheria humifusa,Gauhum
Gaultheria ovatifolia,Gauova
Heteromeles arbutifolia,Hetarb
Lonicera caerulea,Loncau
Lonicera conjugialis,Loncon
Lonicera hispidula,Lonhis
Lonicera interrupta,Lonint
Lonicera involucrata,Loninv
Lonicera subspicata,Lonsub
Prunus andersonii,Pruand
Prunus emarginata,Pruema
Prunus subcordata,Prusub
Prunus virginiana,Pruvir
Rhamnus alnifolia,Rhaaln
Rhamnus crocea,Rhacro
Rhus aromatica,Rhuaro
Ribes amarum,Ribama
Ribes aureum,Ribaur
Ribes cereum,Ribcer
Ribes divaricatum,Ribdiv
Ribes inerme,Ribine
Ribes lasianthum,Riblas
Ribes malvaceum,Ribmal
Ribes menziesii,Ribmen
Ribes montigenum,Ribmon
Ribes nevadense,Ribnev
Ribes quercetorum,Ribque
Ribes roezlii,Ribroe
Ribes tularense,Ribtul
Ribes velutinum,Ribvel
Ribes viscosissimum,Ribvis
Rosa bridgesii,Rosbri
Rosa californica,Roscal
Rosa gymnocarpa,Rosgym
Rosa pinetorum,Rospin
Rosa pisocarpa,Rospis
Rosa spithamea,Rosspi
Rosa woodsii,Roswoo
Rubus glaucifolius,Rubgla
Rubus leucodermis,Rubleu
Rubus parviflorus,Rubpar
Rubus ursinus,Ruburs
Sambucus nigra,Samnig
Sambucus racemosa,Samrac
Shepherdia argentea,Shearg
Solanum parishii,Solpar
Solanum umbelliferum,Solumb
Solanum xanti,Solxan
Symphoricarpos albus,Symalb
Symphoricarpos mollis,Symmol
Symphoricarpos rotundifolius,Symrot
Toxicodendron diversilobum,Toxdiv
Umbellularia californica,Umbcal
Vaccinium cespitosum,Vaccae
Vaccinium deliciosum,Vacdel
Vaccinium membranaceum,Vacmem
Vaccinium parvifolium,Vacpar
Vaccinium uliginosum,Vaculi
Ventia crocea,Rhacro
Viburnum ellipticum,Vibell
Vitis californica,Vitcal
Vitis girdiana,Vitgir
