field_1,X,name,issues,basisOfRec,year,month,day,geodeticDa,decimalLon,decimalLat,optional,left,top,right,bottom,ID,left_1,top_1,right_1,bottom_1,ID_1,left_2,top_2,right_2,bottom_2,ID_2,left_3,top_3,right_3,bottom_3,ID_3,left_4,top_4,right_4,bottom_4,ID_4,left_5,top_5,right_5,bottom_5,ID_5,left_6,top_6,right_6,bottom_6,ID_6
3147,336,Solanum parishii,gass84,PRESERVED_SPECIMEN,1990,3,30,WGS84,-119.00000,37.00000,TRUE,2132937.16157,557037.29784,2134187.16157,555787.29784,103421,2131687.16157,558287.29784,2134187.16157,555787.29784,25854,2131687.16157,560787.29784,2136687.16157,555787.29784,6527,2131687.16157,560787.29784,2141687.16157,550787.29784,1664,2121687.16157,560787.29784,2141687.16157,540787.29784,416,2121687.16157,580787.29784,2161687.16157,540787.29784,112,2121687.1615699999965727,620787.2978420000290498,2201687.1615699999965727,540787.2978420000290498,32
6489,349,Arctostaphylos viscida,,PRESERVED_SPECIMEN,1990,4,28,WGS84,-120.90830,38.33869,TRUE,1964187.16157,704537.29784,1965437.16157,703287.29784,34048,1964187.16157,705787.29784,1966687.16157,703287.29784,8576,1961687.16157,705787.29784,1966687.16157,700787.29784,2112,1961687.16157,710787.29784,1971687.16157,700787.29784,544,1961687.16157,720787.29784,1981687.16157,700787.29784,144,1961687.16157,740787.29784,2001687.16157,700787.29784,40,1961687.1615699999965727,780787.2978420000290498,2041687.1615699999965727,700787.2978420000290498,12
6490,350,Arctostaphylos viscida,cdrep,PRESERVED_SPECIMEN,1990,4,1,WGS84,-121.57720,39.81472,TRUE,1906687.16157,869537.29784,1907937.16157,868287.29784,10318,1906687.16157,870787.29784,1909187.16157,868287.29784,2599,1906687.16157,870787.29784,1911687.16157,865787.29784,660,1901687.16157,870787.29784,1911687.16157,860787.29784,138,1901687.16157,880787.29784,1921687.16157,860787.29784,37,1881687.16157,900787.29784,1921687.16157,860787.29784,2,1881687.1615699999965727,940787.2978420000290498,1961687.1615699999965727,860787.2978420000290498,1
6531,55,Vaccinium parvifolium,cdrep,PRESERVED_SPECIMEN,1990,4,26,WGS84,-121.33610,39.65944,TRUE,1927937.16157,852037.29784,1929187.16157,850787.29784,19053,1926687.16157,853287.29784,1929187.16157,850787.29784,4662,1926687.16157,855787.29784,1931687.16157,850787.29784,1179,1921687.16157,860787.29784,1931687.16157,850787.29784,269,1921687.16157,860787.29784,1941687.16157,840787.29784,71,1921687.16157,860787.29784,1961687.16157,820787.29784,20,1881687.1615699999965727,860787.2978420000290498,1961687.1615699999965727,780787.2978420000290498,2
11511,26,Berberis aquifolium,,PRESERVED_SPECIMEN,1990,5,13,WGS84,-120.06410,38.87956,TRUE,2036687.16157,764537.29784,2037937.16157,763287.29784,63754,2036687.16157,765787.29784,2039187.16157,763287.29784,16005,2036687.16157,765787.29784,2041687.16157,760787.29784,4035,2031687.16157,770787.29784,2041687.16157,760787.29784,993,2021687.16157,780787.29784,2041687.16157,760787.29784,240,2001687.16157,780787.29784,2041687.16157,740787.29784,56,1961687.1615699999965727,780787.2978420000290498,2041687.1615699999965727,700787.2978420000290498,12
11529,249,Prunus virginiana,gass84,PRESERVED_SPECIMEN,1990,5,12,WGS84,-120.18780,39.73323,TRUE,2026687.16157,859537.29784,2027937.16157,858287.29784,59574,2026687.16157,860787.29784,2029187.16157,858287.29784,14939,2026687.16157,860787.29784,2031687.16157,855787.29784,3758,2021687.16157,860787.29784,2031687.16157,850787.29784,919,2021687.16157,860787.29784,2041687.16157,840787.29784,236,2001687.16157,860787.29784,2041687.16157,820787.29784,54,1961687.1615699999965727,860787.2978420000290498,2041687.1615699999965727,780787.2978420000290498,11
11530,389,Ribes nevadense,"gass84,gdativ",PRESERVED_SPECIMEN,1990,5,14,WGS84,-120.92930,40.09344,TRUE,1962937.16157,899537.29784,1964187.16157,898287.29784,33379,1961687.16157,900787.29784,1964187.16157,898287.29784,8241,1961687.16157,900787.29784,1966687.16157,895787.29784,2073,1961687.16157,900787.29784,1971687.16157,890787.29784,525,1961687.16157,900787.29784,1981687.16157,880787.29784,135,1961687.16157,900787.29784,2001687.16157,860787.29784,36,1961687.1615699999965727,940787.2978420000290498,2041687.1615699999965727,860787.2978420000290498,10
11531,390,Ribes nevadense,cdrep,PRESERVED_SPECIMEN,1990,5,21,WGS84,-121.19200,39.90600,TRUE,1940437.16157,879537.29784,1941687.16157,878287.29784,24161,1939187.16157,880787.29784,1941687.16157,878287.29784,5936,1936687.16157,880787.29784,1941687.16157,875787.29784,1432,1931687.16157,880787.29784,1941687.16157,870787.29784,332,1921687.16157,880787.29784,1941687.16157,860787.29784,70,1921687.16157,900787.29784,1961687.16157,860787.29784,19,1881687.1615699999965727,940787.2978420000290498,1961687.1615699999965727,860787.2978420000290498,1
11536,328,Ribes roezlii,cdrep,PRESERVED_SPECIMEN,1990,5,21,WGS84,-121.19200,39.90600,TRUE,1940437.16157,879537.29784,1941687.16157,878287.29784,24161,1939187.16157,880787.29784,1941687.16157,878287.29784,5936,1936687.16157,880787.29784,1941687.16157,875787.29784,1432,1931687.16157,880787.29784,1941687.16157,870787.29784,332,1921687.16157,880787.29784,1941687.16157,860787.29784,70,1921687.16157,900787.29784,1961687.16157,860787.29784,19,1881687.1615699999965727,940787.2978420000290498,1961687.1615699999965727,860787.2978420000290498,1
11537,61,Ribes viscosissimum,cdrep,PRESERVED_SPECIMEN,1990,5,21,WGS84,-121.19200,39.90600,TRUE,1940437.16157,879537.29784,1941687.16157,878287.29784,24161,1939187.16157,880787.29784,1941687.16157,878287.29784,5936,1936687.16157,880787.29784,1941687.16157,875787.29784,1432,1931687.16157,880787.29784,1941687.16157,870787.29784,332,1921687.16157,880787.29784,1941687.16157,860787.29784,70,1921687.16157,900787.29784,1961687.16157,860787.29784,19,1881687.1615699999965727,940787.2978420000290498,1961687.1615699999965727,860787.2978420000290498,1
